Time,CForce,BForce,AForce,DForce
2.04,0.50021189,-0.04113038,-0.007062792,-4.709636199
2.05,0.507274682,-0.034483046,-0.013710127,-4.648148359
2.06,0.507274682,-0.048193172,-0.013710127,-4.599955187
2.07,0.513922016,-0.04113038,-0.007062792,-4.634438232
2.08,0.520984809,-0.04113038,-0.013710127,-4.689278738
2.09,0.527632143,-0.04113038,-0.013710127,-4.689278738
2.1,0.520984809,-0.04113038,-0.013710127,-4.744119245
2.11,0.54134227,-0.04113038,-0.007062792,-4.716698992
2.12,0.534694935,-0.04113038,-0.013710127,-4.730409118
2.13,0.527632143,-0.034483046,-0.007062792,-4.798959751
2.14,0.527632143,-0.04113038,-0.013710127,-4.730409118
2.15,0.534694935,-0.04113038,-0.007062792,-4.607017979
2.16,0.527632143,-0.048193172,-0.007062792,-4.607017979
2.17,0.534694935,-0.048193172,-0.013710127,-4.654795693
2.18,0.534694935,-0.048193172,-0.020772919,-4.613665313
2.19,0.527632143,-0.048193172,-0.007062792,-4.654795693
2.2,0.527632143,-0.04113038,-0.007062792,-4.62737544
2.21,0.534694935,-0.048193172,-0.007062792,-4.572534934
2.22,0.527632143,-0.04113038,-0.013710127,-4.552177473
2.23,0.527632143,-0.04113038,-0.013710127,-4.545114681
2.24,0.520984809,-0.034483046,-0.013710127,-4.52475722
2.25,0.520984809,-0.034483046,-0.007062792,-4.497336967
2.26,0.513922016,-0.04113038,-0.013710127,-4.462853921
2.27,0.513922016,-0.034483046,-0.007062792,-4.366883035
2.28,0.513922016,-0.027420253,-0.013710127,-4.428786334
2.29,0.513922016,-0.027420253,-0.020772919,-4.147521011
2.3,0.507274682,-0.034483046,-0.013710127,-3.270072911
2.31,0.507274682,-0.034483046,-0.013710127,-2.228103294
2.32,0.493564556,-0.027420253,-0.007062792,-1.398432908
2.33,0.50021189,-0.027420253,-0.007062792,-0.843380512
2.34,0.493564556,-0.034483046,-0.013710127,-0.493564556
2.35,0.493564556,-0.034483046,-0.007062792,-0.267555197
2.36,0.493564556,-0.027420253,-0.007062792,-0.130453931
2.37,0.486501763,-0.027420253,-0.007062792,-0.034483046
2.38,0.486501763,-0.027420253,-0.007062792,0.027420253
2.39,0.486501763,-0.034483046,-0.013710127,0.068550633
2.4,0.486501763,-0.034483046,-0.013710127,0.075197967
