"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.571403299E1,-1.239145160E0,-1.866979599E-1,-3.525686264E-2,1.253626699E0
9.573194980E1,-1.194223046E0,-1.955475807E-1,6.605148315E-3,1.210145102E0
9.574986581E1,-1.205941319E0,-2.339258194E-1,-3.209543228E-2,1.228839238E0
9.576778256E1,-1.226807952E0,-2.342224121E-1,-6.585168839E-2,1.250701537E0
9.578569882E1,-1.196911454E0,-1.902189255E-1,-1.042804718E-1,1.216410574E0
9.580361557E1,-1.190051317E0,-1.807003021E-1,-9.156513214E-2,1.207169793E0
9.582153189E1,-1.177948117E0,-1.948094368E-1,-8.756589890E-2,1.197155074E0
9.583944790E1,-1.227424622E0,-2.037200928E-1,-1.463842392E-1,1.252797439E0
9.585736490E1,-1.243004084E0,-2.171010971E-1,-1.289591789E-1,1.268393672E0
9.587528158E1,-1.240624428E0,-1.973981857E-1,-6.307649612E-2,1.257813046E0
9.589319754E1,-1.191015720E0,-1.915702820E-1,-5.027532578E-2,1.207371205E0
9.591111386E1,-1.159924507E0,-2.197647095E-1,-4.655551910E-2,1.181477383E0
9.592902816E1,-1.190171361E0,-2.629423141E-1,-1.284179688E-1,1.225617275E0
9.594694955E1,-1.197130084E0,-2.627515793E-1,-1.824989319E-1,1.239138689E0
9.596486306E1,-1.222055197E0,-2.819695473E-1,-1.406526566E-1,1.262025713E0
9.598278012E1,-1.224063873E0,-2.428765297E-1,-1.456160545E-1,1.256393812E0
9.600068466E1,-1.217866302E0,-2.565927505E-1,-1.898179054E-1,1.258995236E0
9.601861001E1,-1.190087438E0,-2.907047272E-1,-1.144523621E-1,1.230413220E0
9.603653177E1,-1.188098550E0,-2.664113045E-1,-2.103862762E-1,1.235643773E0
9.605444583E1,-1.158757806E0,-1.972413063E-1,-2.117366791E-1,1.194343421E0
9.607236239E1,-1.108737230E0,-1.486172676E-1,2.505922318E-2,1.118934003E0
9.609027890E1,-1.111407280E0,-1.391367912E-1,7.262039185E-2,1.122434368E0
9.610819491E1,-1.089541912E0,-2.012734413E-1,-9.489965439E-2,1.112033507E0
9.612610049E1,-1.136165977E0,-3.516173363E-1,-2.290139198E-1,1.211179282E0
9.614402780E1,-1.230728388E0,-3.085446358E-1,-4.395031929E-1,1.342778915E0
9.616194253E1,-1.276875138E0,-2.394247055E-1,-2.605299950E-1,1.324994410E0
9.617986282E1,-1.164971948E0,-2.661232948E-1,3.697872162E-3,1.194987415E0
9.619777737E1,-1.137369990E0,-2.943654060E-1,-1.356229782E-1,1.182647487E0
9.621569394E1,-1.168666244E0,-2.602014542E-1,-3.133859634E-1,1.237617206E0
9.623361044E1,-1.156826615E0,-2.206702232E-1,-1.141438484E-1,1.183204117E0
9.625152646E1,-1.097737551E0,-1.580357552E-1,-4.805135727E-2,1.110095475E0
9.626944314E1,-1.080733895E0,-1.761741638E-1,-8.729553223E-2,1.098473303E0
9.628735977E1,-1.075700521E0,-2.491774559E-1,-8.320474625E-2,1.107313888E0
9.630527646E1,-1.113790512E0,-3.514990807E-1,-2.543969154E-1,1.195323680E0
9.632317856E1,-1.175558805E0,-3.804373741E-1,-5.178117752E-1,1.339701510E0
9.634110714E1,-1.229303837E0,-3.441257477E-1,-4.211316109E-1,1.344232974E0
9.635902719E1,-1.161092639E0,-2.550148964E-1,-9.038209915E-2,1.192198657E0
9.637694229E1,-1.068628311E0,-2.576627731E-1,-2.710819244E-3,1.099256076E0
9.639485818E1,-1.084854007E0,-2.291326523E-1,-1.652460098E-1,1.121033555E0
9.641277475E1,-1.134103537E0,-2.192845345E-1,-1.367568970E-1,1.163176250E0
9.643068832E1,-1.072914362E0,-2.253870964E-1,-3.600835800E-2,1.096923504E0
9.644861093E1,-1.096855640E0,-3.038306236E-1,-3.075833321E-1,1.178988062E0
9.646652371E1,-1.120939136E0,-3.378930092E-1,-3.699688911E-1,1.227824585E0
9.648444052E1,-1.101652503E0,-4.007534981E-1,-3.467640877E-1,1.222492101E0
9.650235702E1,-1.088450670E0,-4.093370438E-1,-5.483617783E-1,1.285683599E0
9.652027383E1,-1.109930277E0,-3.638672829E-1,-4.325132370E-1,1.245557032E0
9.653818973E1,-1.074982405E0,-2.940626144E-1,-1.774783134E-1,1.128520511E0
9.655610623E1,-1.015790939E0,-2.788414955E-1,-7.350349426E-2,1.055929247E0
9.657402310E1,-1.026649117E0,-2.931585312E-1,-1.939067841E-1,1.085149840E0
9.659193954E1,-1.040958881E0,-3.269920349E-1,-1.709294319E-1,1.104416613E0
9.660985550E1,-1.054629803E0,-3.633122444E-1,-2.075977325E-1,1.134608578E0
9.662777231E1,-1.058619499E0,-3.935341835E-1,-4.407262802E-1,1.212346506E0
9.664567245E1,-1.092311502E0,-3.789644241E-1,-5.274085999E-1,1.270794351E0
9.666360531E1,-1.065203786E0,-3.246273994E-1,-3.192391396E-1,1.158428108E0
9.668152127E1,-1.047798038E0,-2.753844261E-1,-2.830758095E-1,1.119754091E0
9.669943832E1,-1.030923605E0,-2.783675194E-1,-2.137989998E-1,1.089037174E0
9.671735293E1,-1.003076315E0,-2.448239326E-1,-9.955787659E-2,1.037310283E0
9.673526150E1,-9.614531398E-1,-2.984595299E-1,-2.187180519E-1,1.030197950E0
9.675318564E1,-9.840139151E-1,-3.622217178E-1,-3.190636635E-1,1.096033567E0
9.677110550E1,-1.034847856E0,-3.727240562E-1,-4.477047920E-1,1.187549109E0
9.678902035E1,-1.062635422E0,-3.916392326E-1,-4.154200554E-1,1.206295631E0
9.680693710E1,-1.109164834E0,-4.587264061E-1,-4.175162315E-1,1.270825066E0
9.682485312E1,-1.100708961E0,-3.860301971E-1,-4.330286980E-1,1.244224009E0
9.684276962E1,-1.035932541E0,-3.210945129E-1,-2.826600075E-1,1.120783028E0
9.686068606E1,-9.468903542E-1,-2.823300362E-1,-1.072154045E-1,9.938846689E-1
9.687860293E1,-9.145179987E-1,-2.781643867E-1,-2.357172966E-1,9.845208174E-1
9.689651883E1,-9.235637784E-1,-3.124604225E-1,-3.409476280E-1,1.032882788E0
9.691443564E1,-9.501178265E-1,-3.862752914E-1,-3.787016869E-1,1.093319465E0
9.693235214E1,-1.019820571E0,-4.104690552E-1,-4.698252678E-1,1.195514377E0
9.695026889E1,-1.028779984E0,-3.667807579E-1,-4.666128159E-1,1.187705308E0
9.696818460E1,-1.052419901E0,-3.985924721E-1,-4.029545784E-1,1.195339282E0
9.698609134E1,-1.015162349E0,-3.592171669E-1,-2.283315659E-1,1.100784662E0
9.700401797E1,-9.930983186E-1,-3.249096870E-1,-2.626223564E-1,1.077395506E0
9.702193466E1,-9.233579636E-1,-2.227277756E-1,-2.021789551E-1,9.711199312E-1
9.703985043E1,-9.426720738E-1,-2.031106949E-1,-7.892465591E-2,9.675296866E-1
9.705776718E1,-8.979749084E-1,-2.676863670E-1,-7.301521301E-2,9.398649629E-1
9.707568094E1,-9.194784164E-1,-4.100518227E-1,-3.811645508E-1,1.076507998E0
9.709360312E1,-9.737153053E-1,-4.643220901E-1,-6.999521255E-1,1.285943030E0
9.711151645E1,-1.009696722E0,-5.079121590E-1,-6.723141670E-1,1.315092609E0
9.712943320E1,-9.823849201E-1,-4.768252373E-1,-6.565051079E-1,1.274143397E0
9.714735434E1,-9.655616283E-1,-4.009242058E-1,-4.796671867E-1,1.150273918E0
9.716526333E1,-8.909571171E-1,-2.974810600E-1,-1.305289268E-1,9.483339951E-1
9.718318502E1,-8.556452990E-1,-2.674446106E-1,-5.027627945E-2,8.978770526E-1
9.720109891E1,-8.752840757E-1,-2.399587631E-1,-1.685476303E-1,9.230984373E-1
9.721901523E1,-9.067854285E-1,-2.710061073E-1,-1.764454842E-1,9.627238090E-1
9.723693228E1,-9.313231111E-1,-3.514714241E-1,-2.792592049E-1,1.033866821E0
9.725484823E1,-9.904490113E-1,-3.915853500E-1,-5.690283775E-1,1.207527070E0
9.727276492E1,-9.937715530E-1,-3.908205032E-1,-5.612411499E-1,1.206364039E0
9.729068124E1,-9.173447490E-1,-4.091010094E-1,-3.684844971E-1,1.069890578E0
9.730859744E1,-8.366755843E-1,-4.067263603E-1,-4.757952690E-1,1.044908371E0
9.732651431E1,-8.480545282E-1,-3.953886032E-1,-4.687633514E-1,1.046550386E0
9.734443069E1,-8.307346702E-1,-3.508858681E-1,-2.607722282E-1,9.387455138E-1
9.736234701E1,-7.883080244E-1,-3.323369026E-1,-2.799034119E-1,9.001240349E-1
9.738026358E1,-8.872544765E-1,-3.900761604E-1,-4.042658806E-1,1.050147999E0
9.739818100E1,-9.381380677E-1,-3.671770096E-1,-2.945294380E-1,1.049604488E0
9.741609524E1,-8.982226849E-1,-3.740568161E-1,-2.834444046E-1,1.013441278E0
9.743401303E1,-8.824821115E-1,-4.180765152E-1,-4.979529381E-1,1.096138576E0
9.745192978E1,-9.244936109E-1,-4.084868431E-1,-5.322713852E-1,1.142305898E0
9.746983505E1,-8.920758963E-1,-3.451633453E-1,-4.239783287E-1,1.046276619E0
9.748776028E1,-8.169020414E-1,-2.956624031E-1,-3.353962898E-1,9.312549990E-1
9.750568075E1,-7.941676974E-1,-2.615661621E-1,-2.599930763E-1,8.756229717E-1
9.752359555E1,-7.464672923E-1,-3.047981262E-1,-2.418842316E-1,8.417976584E-1
9.754150741E1,-7.582780719E-1,-4.121265411E-1,-3.888702393E-1,9.466012799E-1
9.755942044E1,-8.506633639E-1,-4.755520821E-1,-6.176619530E-1,1.153812909E0
9.757734482E1,-9.030712247E-1,-4.228177071E-1,-4.898982048E-1,1.110996265E0
9.759526132E1,-8.651533127E-1,-3.544692993E-1,-3.483729362E-1,9.977486865E-1
9.761317733E1,-8.284472823E-1,-3.295168877E-1,-2.590360641E-1,9.284427615E-1
9.763109408E1,-7.998060584E-1,-3.593893051E-1,-1.823401451E-1,8.955994262E-1
9.764901034E1,-8.128511906E-1,-3.952631950E-1,-4.663305283E-1,1.017066474E0
9.766692709E1,-8.167321682E-1,-4.292874336E-1,-6.435966492E-1,1.124969236E0
9.768484305E1,-8.201264143E-1,-4.153027534E-1,-4.435629845E-1,1.020701638E0
9.770275131E1,-8.056548834E-1,-3.902192116E-1,-4.830985069E-1,1.017219245E0
9.772067605E1,-7.780443430E-1,-3.986506462E-1,-4.376058578E-1,9.776370616E-1
9.773859317E1,-7.446233034E-1,-3.979892731E-1,-3.719482422E-1,9.226076199E-1
9.775650906E1,-7.598929405E-1,-3.498501778E-1,-3.673653603E-1,9.136682855E-1
9.777442556E1,-7.472729683E-1,-2.627701759E-1,-2.635297775E-1,8.348131516E-1
9.779234219E1,-7.231770754E-1,-2.344808578E-1,-1.678624153E-1,7.785525965E-1
9.781025888E1,-6.645852327E-1,-3.222279549E-1,-2.391266823E-1,7.763285108E-1
9.782817483E1,-7.140489817E-1,-4.352617264E-1,-4.808263779E-1,9.646308746E-1
9.784609146E1,-8.066515326E-1,-4.934034348E-1,-7.436294556E-1,1.202962348E0
9.786400814E1,-8.668892980E-1,-4.783048630E-1,-6.118922234E-1,1.163909228E0
9.788192587E1,-8.426542282E-1,-4.285235405E-1,-5.045528412E-1,1.071574609E0
9.789983926E1,-8.024696112E-1,-3.775882721E-1,-3.982286453E-1,9.721709901E-1
9.791775869E1,-7.336207032E-1,-2.948188782E-1,-1.518039703E-1,8.050850592E-1
9.793567392E1,-6.921190619E-1,-2.567186356E-1,-1.841816902E-1,7.608259648E-1
9.795359048E1,-6.770923138E-1,-2.869477272E-1,-2.554569244E-1,7.784929285E-1
9.797150638E1,-6.793079972E-1,-3.566393852E-1,-2.962827682E-1,8.224563727E-1
9.798942318E1,-7.243683934E-1,-3.927183151E-1,-5.281491280E-1,9.787128005E-1
