"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.955279200E0,-5.893144757E-2,-3.659986258E-1,5.651187897E-2,3.749953360E-1
7.973197169E0,-1.073846966E-2,-3.504662514E-1,3.734588623E-2,3.526139863E-1
7.991114955E0,-4.799612984E-2,-3.791298568E-1,8.936309814E-2,3.924650814E-1
8.009032740E0,-3.731288016E-4,-4.065360427E-1,5.104923248E-2,4.097288339E-1
8.026950099E0,-2.349787392E-2,-4.158732295E-1,1.275854111E-1,4.356383021E-1
8.044867823E0,-2.399580181E-2,-3.572049439E-1,2.765750885E-2,3.590767442E-1
8.062771692E0,-8.860837668E-3,-4.238362312E-1,9.880256653E-2,4.352902624E-1
8.080706080E0,5.045479164E-3,-3.839738369E-1,3.654956818E-2,3.857424467E-1
8.098620509E0,-2.748473547E-2,-3.981262445E-1,7.958698273E-2,4.069324331E-1
8.170277796E0,-8.276134729E-3,-3.629709482E-1,6.518650055E-2,3.688708223E-1
8.188199305E0,6.265409291E-3,-3.525757194E-1,3.165435791E-2,3.540492785E-1
8.206112513E0,-2.723794244E-2,-3.517723680E-1,5.554771423E-2,3.571711815E-1
8.224031580E0,3.533336520E-2,-3.316423297E-1,2.891540527E-3,3.335317714E-1
8.241952784E0,-4.574981332E-2,-3.652805090E-1,5.132675171E-2,3.716952127E-1
8.259868861E0,-7.167171687E-3,-3.315043449E-1,3.695964813E-2,3.336353019E-1
8.277786341E0,-3.976039216E-2,-3.890686929E-1,7.941436768E-2,3.990764067E-1
8.295703699E0,-4.022104293E-2,-3.596302867E-1,5.067062378E-2,3.654027744E-1
8.313621424E0,-2.986849099E-2,-3.829412460E-1,6.918907166E-2,3.902861160E-1
8.331542383E0,-2.556092665E-2,-3.530319035E-1,5.540561676E-2,3.582661974E-1
8.349468348E0,-2.443382144E-2,-4.053216279E-1,7.869815826E-2,4.136133868E-1
8.367386195E0,1.805538684E-2,-3.751927018E-1,8.345031738E-2,3.847850256E-1
8.385303431E0,-5.174092948E-3,-4.035104215E-1,8.819580078E-2,4.130689177E-1
8.403221339E0,3.729587421E-3,-3.590667844E-1,7.440471649E-2,3.667136857E-1
8.421138941E0,-5.523484200E-3,-3.533853889E-1,7.436943054E-2,3.611683183E-1
8.439057093E0,-1.013439149E-2,-3.286236227E-1,4.083633423E-2,3.313061989E-1
