"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.525666185E1,-1.048668772E-1,-5.048051476E-2,-4.052162170E-2,1.232369512E-1
3.527458922E1,-8.595502377E-2,-6.620344520E-2,2.436637878E-3,1.085223455E-1
3.529250938E1,-6.424736232E-2,-7.370990515E-2,2.089214325E-2,9.998677578E-2
3.531042754E1,-4.089868814E-2,-5.905073881E-2,-1.740837097E-2,7.391037698E-2
3.532834624E1,-2.562735602E-2,-4.856464267E-2,-8.861541748E-2,1.042495952E-1
3.534626244E1,-2.498191223E-2,-4.689458013E-2,-9.348487854E-2,1.075296243E-1
3.536418675E1,-5.642920732E-3,-4.393199086E-2,-6.013011932E-2,7.468261930E-2
3.538210283E1,-9.658932686E-5,-4.945531487E-2,-3.526687622E-3,4.958099459E-2
3.540002153E1,-8.470553905E-3,-6.244379282E-2,9.667778015E-2,1.154017795E-1
3.541794047E1,-4.370536655E-3,-5.256485939E-2,1.484584808E-1,1.575502668E-1
3.543585912E1,-1.996093988E-2,-4.784950614E-2,1.578178406E-1,1.661158787E-1
3.545377806E1,-3.089550883E-2,-2.085804939E-3,9.611320496E-2,1.009783700E-1
3.547169682E1,-2.393225953E-2,3.521728516E-2,-3.241729736E-2,5.351533788E-2
3.548960820E1,-2.113696560E-2,5.689263344E-2,-1.800632477E-1,1.900166209E-1
3.550753404E1,-2.347621694E-2,7.538750768E-2,-2.565650940E-1,2.684400427E-1
3.552545341E1,-3.018324450E-2,4.225698113E-2,-2.422113419E-1,2.477155926E-1
3.554337236E1,-2.066399902E-2,-2.367410064E-2,-1.423587799E-1,1.457857542E-1
3.556129112E1,-2.506429702E-2,-7.573673129E-2,-4.666614532E-2,9.242294397E-2
3.557920183E1,-7.903873920E-4,-1.099470854E-1,-5.677127838E-2,1.237415223E-1
3.559712755E1,-4.166714847E-3,-1.155306399E-1,-1.093235016E-1,1.591110250E-1
3.561503648E1,1.924782991E-3,-8.797329664E-2,-1.565055847E-1,1.795466618E-1
3.563296641E1,-1.737402380E-2,-8.267930150E-2,-1.810550690E-1,1.997965505E-1
3.565088451E1,-2.512560040E-2,-7.148435712E-2,-1.709756851E-1,1.870133525E-1
3.566879222E1,-6.382636726E-3,-8.809134364E-2,-1.334333420E-1,1.600164980E-1
3.568672246E1,-1.988974214E-2,-1.089863479E-1,-4.749774933E-2,1.205390479E-1
3.570464134E1,-1.795489714E-2,-9.960380197E-2,3.301239014E-2,1.064570975E-1
3.572255980E1,-1.271286979E-2,-7.187893987E-2,7.585525513E-2,1.052721178E-1
3.574047880E1,-4.695117474E-3,-2.068352699E-2,4.281044006E-2,4.777641882E-2
3.575839769E1,-2.098675817E-3,1.448583603E-2,4.750823975E-2,4.971193749E-2
3.577631694E1,3.110066056E-3,5.947360396E-2,7.613658905E-2,9.666210360E-2
