"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.104896092E1,-3.006983548E-2,4.396453500E-3,-5.267429352E-2,6.081204656E-2
3.106687449E1,-4.361698031E-2,-4.521161318E-4,-9.604454041E-3,4.466420175E-2
3.108479448E1,-5.437977612E-3,4.368409514E-3,3.825187683E-2,3.888265273E-2
3.110270762E1,-3.895781189E-2,-9.970322251E-3,-9.604454041E-3,4.134445514E-2
3.112062175E1,-2.476298064E-2,-4.597455263E-4,1.911354065E-2,3.128488473E-2
3.113852819E1,-1.061968505E-3,-1.982414722E-2,3.287887573E-2,3.840761721E-2
3.115643969E1,-2.027172595E-2,-4.852603376E-2,-2.395057678E-2,5.778710024E-2
3.117437072E1,-2.044794708E-2,-5.398815870E-2,1.852607727E-2,6.063048210E-2
3.119228265E1,-1.633681357E-3,-6.741437316E-2,2.809238434E-2,7.305168500E-2
3.121019879E1,-2.088844031E-2,-7.218091190E-2,-2.933597565E-2,8.066604272E-2
3.122811303E1,-6.842724979E-3,-8.170537651E-2,1.373672485E-2,8.313416292E-2
3.124602887E1,-7.317736745E-3,-8.165808022E-2,-5.402565002E-3,8.216312461E-2
3.126394299E1,-1.701180637E-2,-7.180075347E-2,-3.831005096E-2,8.314090305E-2
3.128185956E1,-2.662535012E-2,-3.804926574E-2,2.389907837E-2,5.222855387E-2
3.129977375E1,-3.160106391E-2,-4.311440885E-2,1.372337341E-2,5.518886182E-2
3.131768927E1,-2.761641145E-2,-9.007036686E-3,-4.788970947E-2,5.601086649E-2
3.133560364E1,-1.746606082E-2,-9.099423885E-3,8.941650391E-3,2.162905239E-2
3.135351991E1,-4.140667617E-2,-1.906505227E-2,4.151344299E-3,4.577360276E-2
3.137143550E1,-3.263210505E-2,-4.108324647E-3,-2.396202087E-2,4.069288704E-2
3.138934730E1,-1.297976822E-2,-4.105180502E-3,9.538650513E-3,1.662265753E-2
3.140726729E1,-8.243806660E-3,-9.141504765E-3,1.433086395E-2,1.889182678E-2
3.142518080E1,-2.749357373E-2,-2.355048060E-2,-1.438236237E-2,3.895348611E-2
3.144309474E1,-1.805430651E-2,-3.791873157E-2,2.809238434E-2,5.052692594E-2
3.146099862E1,1.045487076E-2,-7.123498619E-2,1.851844788E-2,7.434151257E-2
3.147892232E1,-4.172451794E-3,-7.598845661E-2,-1.976394653E-2,7.862740282E-2
3.149684444E1,-1.886322349E-2,-7.156613469E-2,1.373195648E-2,7.527349775E-2
3.151475552E1,-1.924883574E-2,-7.621243596E-2,8.946418762E-3,7.911315618E-2
3.153267160E1,-1.008786261E-2,-7.059791684E-2,-1.498222351E-2,7.287179053E-2
3.155058432E1,-2.942437679E-2,-7.080538571E-2,-1.020336151E-2,7.735182726E-2
3.156849893E1,-3.948358446E-2,-4.123659432E-2,-2.396392822E-2,6.191671833E-2
3.158641928E1,-4.425676912E-2,-2.966985106E-3,-9.607315063E-3,4.538463525E-2
3.160433213E1,-3.946993500E-2,-2.228754759E-2,4.754066467E-3,4.557643793E-2
3.162224631E1,-5.899687111E-2,-7.881775498E-3,-4.310607910E-2,7.349072895E-2
3.164016270E1,-4.891457409E-2,-1.260174811E-2,-1.439189911E-2,5.252205607E-2
3.165806522E1,-3.945781291E-2,1.624092460E-3,1.013851166E-2,4.077187872E-2
3.167598936E1,-3.958284110E-2,-1.314702630E-2,-1.857089996E-2,4.565658699E-2
3.169390696E1,-3.867398202E-2,-5.147528648E-2,-1.378726959E-2,6.584429214E-2
3.171182609E1,-1.938027143E-2,-6.095580757E-2,4.754066467E-3,6.413896277E-2
3.172973735E1,-5.456373096E-3,-6.563927233E-2,-3.832054138E-2,7.620203391E-2
3.174765325E1,-1.434174925E-2,-4.623141885E-2,1.910114288E-2,5.203732814E-2
3.176556731E1,-2.878684551E-2,-6.560122967E-2,2.387905121E-2,7.551432245E-2
3.178348339E1,4.152581096E-3,-6.951734424E-2,-3.355407715E-2,7.730317699E-2
3.180139788E1,4.895806313E-3,-5.020616949E-2,2.865314484E-2,5.801405936E-2
3.181931396E1,-2.391112596E-2,-4.998774827E-2,1.967620850E-2,5.880195662E-2
3.183722796E1,-3.441584855E-2,-1.630923152E-2,-4.253768921E-2,5.709550479E-2
3.185514428E1,-1.544776559E-2,-1.623429358E-2,-9.038925171E-3,2.416377284E-2
3.187305835E1,-2.018116415E-2,-1.842632890E-3,-3.296852112E-2,3.869881222E-2
3.189097125E1,-5.348797888E-2,2.748861909E-3,-8.022403717E-2,9.645940216E-2
3.190889167E1,-3.441865742E-2,7.330626249E-3,-3.714847565E-2,5.117021891E-2
3.192680512E1,-2.982536703E-2,1.195260882E-2,-5.149936676E-2,6.070092382E-2
3.194471955E1,-2.497759461E-2,-6.656974554E-3,-1.382389069E-1,1.406349562E-1
3.196262244E1,-1.536909491E-2,-4.083158076E-2,-8.140850067E-2,9.236217325E-2
3.198054798E1,-1.511920989E-2,-2.648359537E-2,-9.995460510E-2,1.045030833E-1
3.199846687E1,-2.918633074E-2,-5.046528578E-2,-1.286687851E-1,1.412594890E-1
3.201637990E1,1.421410590E-2,-4.986628890E-2,-1.143150330E-1,1.255253534E-1
3.203429536E1,-1.425790787E-2,-7.909798622E-2,-1.143188477E-1,1.397446897E-1
3.205220973E1,-2.371738106E-2,-7.435512543E-2,-1.382484436E-1,1.587571447E-1
3.207012618E1,1.468261331E-2,-4.972130060E-2,-9.518051147E-2,1.083841161E-1
3.208804030E1,-3.303769976E-2,-5.493174493E-2,-1.334705353E-1,1.480654247E-1
3.210595620E1,-2.389127761E-2,-3.990030289E-2,-1.765394211E-1,1.825623031E-1
3.212387039E1,-4.420541227E-3,-3.038324416E-2,-1.238985062E-1,1.276460831E-1
3.214178659E1,-3.836293519E-2,-3.001148999E-2,-1.956882477E-1,2.016588570E-1
3.215970090E1,-5.311866105E-2,-1.076535881E-2,-1.855173111E-1,1.932722376E-1
3.217761673E1,-1.062922925E-2,-1.076720655E-2,-1.861152649E-1,1.867292293E-1
3.219552414E1,-3.903130442E-2,-3.490383923E-2,-2.435407639E-1,2.491060505E-1
3.221344699E1,-1.952408999E-2,-2.079331875E-2,-2.291822433E-1,2.309503255E-1
3.223136136E1,-1.443271339E-2,-3.540822864E-2,-1.956748962E-1,1.993758032E-1
3.224927708E1,-1.966741681E-2,-4.977400601E-2,-2.961730957E-1,3.009697021E-1
3.226719138E1,-9.918041527E-3,-3.530281782E-2,-2.483205795E-1,2.510134791E-1
3.228509574E1,-2.421961725E-2,-4.955931008E-2,-2.435388565E-1,2.497076084E-1
3.230302049E1,-3.858892620E-2,-4.940874875E-2,-3.003711700E-1,3.068438845E-1
3.232092729E1,8.776783943E-6,-3.971260786E-2,-2.668771744E-1,2.698157103E-1
3.233885344E1,-1.903862506E-2,-3.486621380E-2,-2.285947800E-1,2.320208946E-1
3.235676818E1,-5.717353523E-2,-4.435659945E-2,-3.147392273E-1,3.229506189E-1
3.237466966E1,-9.305216372E-3,-1.016309857E-2,-3.099555969E-1,3.102617406E-1
3.239259539E1,-2.350542694E-2,-1.062065363E-3,-2.668876648E-1,2.679228596E-1
3.241051519E1,-4.282768816E-2,-1.492862403E-2,-3.961019516E-1,3.986901438E-1
3.242842870E1,-1.810864359E-2,4.057705402E-3,-3.147449493E-1,3.152915652E-1
3.244634289E1,-3.228971362E-2,-2.511399984E-2,-3.051776886E-1,3.079070642E-1
3.246424658E1,-3.287294507E-2,-2.931591868E-2,-4.056768417E-1,4.080609679E-1
3.248217279E1,4.366636276E-4,-1.501026750E-2,-3.817453384E-1,3.820405767E-1
3.250008917E1,-1.336610317E-2,-9.190584719E-2,-3.344926834E-1,3.471465004E-1
3.251800318E1,-4.350297153E-3,-7.190142572E-2,-4.439706802E-1,4.497762833E-1
3.253591901E1,-3.492206335E-3,-7.662388682E-2,-3.865461349E-1,3.940828973E-1
3.255383326E1,-3.223381191E-2,-8.670298755E-2,-3.386917114E-1,3.510961436E-1
3.257174952E1,-2.287551016E-2,-1.150909290E-1,-4.344091415E-1,4.499783474E-1
3.258966377E1,1.964118332E-2,-1.047326922E-1,-4.493694305E-1,4.618307028E-1
3.260757972E1,-1.789227128E-2,-6.218832731E-2,-3.728017807E-1,3.783763855E-1
3.262549458E1,-6.100478023E-2,-4.737693071E-2,-4.248552322E-1,4.318195516E-1
3.264340956E1,-2.813373506E-2,-8.366763592E-3,-5.014286041E-1,5.022869248E-1
3.266132448E1,-5.664151162E-2,2.023881674E-2,-4.386157990E-1,4.427207807E-1
3.267924007E1,-5.643854290E-2,1.519559324E-2,-4.864683151E-1,4.899669752E-1
3.269715401E1,-3.704707325E-2,1.032558084E-2,-5.438966751E-1,5.452547079E-1
3.271506966E1,-6.532880664E-2,3.410701454E-2,-5.008268356E-1,5.062199726E-1
3.273298592E1,-1.744873822E-2,9.940430522E-3,-5.103931427E-1,5.107880487E-1
3.275090060E1,-1.737409830E-2,2.124756575E-4,-5.151748657E-1,5.154677941E-1
3.276881479E1,-3.156302124E-2,-1.415491104E-2,-5.438909531E-1,5.449898665E-1
3.278671927E1,6.834827363E-3,-4.274147749E-2,-4.966363907E-1,4.985190601E-1
3.280464060E1,1.643925905E-2,-9.049949795E-2,-5.397090912E-1,5.474909236E-1
3.282256558E1,-1.725023240E-2,-8.557702601E-2,-5.492820740E-1,5.561760465E-1
3.284047538E1,6.745077670E-3,-1.237275153E-1,-5.923557281E-1,6.051770838E-1
3.285837955E1,4.981537163E-2,-1.085203812E-1,-5.827903748E-1,5.948973569E-1
