"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.370462684E1,-1.539639950E1,-4.562799931E0,-5.089839935E1,5.337148412E1
8.371462660E1,-1.594539928E1,-4.660399914E0,-5.155719757E1,5.416751524E1
8.372462635E1,-1.600639915E1,-4.440799713E0,-5.097159958E1,5.360997556E1
8.373462611E1,-1.496939945E1,-3.586799860E0,-5.091059875E1,5.318681339E1
8.374462635E1,-1.628699875E1,-3.818599939E0,-5.128879929E1,5.394802096E1
8.375462635E1,-1.698239899E1,-3.977200031E0,-5.110580063E1,5.400021160E1
8.376461048E1,-1.888559914E1,-4.269999981E0,-5.163039780E1,5.514160617E1
8.377462611E1,-1.809259987E1,-4.062600136E0,-5.191099930E1,5.512348626E1
8.378462635E1,-1.769000053E1,-4.147999763E0,-5.103260040E1,5.417073310E1
8.379462586E1,-1.837319946E1,-4.745800018E0,-5.084959793E1,5.427502820E1
8.380462660E1,-1.769000053E1,-4.221199989E0,-5.069099808E1,5.385472992E1
8.381462611E1,-1.887339973E1,-4.953199863E0,-5.147179794E1,5.504621140E1
8.382462635E1,-1.811700058E1,-4.709199905E0,-5.089839935E1,5.423144227E1
8.383462635E1,-1.831220055E1,-4.599400043E0,-5.076419830E1,5.416174849E1
8.384462635E1,-1.899539948E1,-4.818999767E0,-5.175239944E1,5.533858336E1
8.385462660E1,-1.889780045E1,-4.269999981E0,-5.184999847E1,5.535144175E1
8.386462611E1,-1.848299980E1,-4.184599876E0,-5.067879868E1,5.410612528E1
8.387462611E1,-1.809259987E1,-3.708799839E0,-5.111800003E1,5.435206798E1
8.388462611E1,-1.906859970E1,-4.282199860E0,-5.210619736E1,5.565073704E1
8.389461048E1,-1.711660004E1,-2.866999865E0,-5.009320068E1,5.301439842E1
8.390462635E1,-1.709219933E1,-2.976799965E0,-5.070319748E1,5.358935389E1
8.391462635E1,-1.855620003E1,-3.330600023E0,-5.164259720E1,5.497620668E1
8.392459901E1,-1.738500023E1,-2.915799856E0,-5.047139740E1,5.346122031E1
8.393462611E1,-1.771439934E1,-3.049999952E0,-5.127659988E1,5.433591942E1
8.394462635E1,-1.761680031E1,-3.257400036E0,-5.110580063E1,5.415501053E1
8.395462635E1,-1.766559982E1,-3.330600023E0,-5.175239944E1,5.478573867E1
8.396462635E1,-1.765340042E1,-3.257400036E0,-5.197200012E1,5.498492519E1
8.397462635E1,-1.718980026E1,-3.452600002E0,-5.094720078E1,5.387974524E1
8.398462635E1,-1.668959999E1,-3.184200048E0,-5.077639771E1,5.354366855E1
8.399460926E1,-1.720199966E1,-3.684399843E0,-5.317979813E1,5.601405648E1
8.400462684E1,-1.705559921E1,-3.635599852E0,-5.195980072E1,5.480813755E1
8.401462635E1,-1.758020020E1,-3.403800011E0,-5.278939819E1,5.574378759E1
8.402462660E1,-1.815359879E1,-3.830799818E0,-5.337500000E1,5.650768798E1
8.403462684E1,-1.776319885E1,-3.391599894E0,-5.554660034E1,5.841625624E1
8.404462635E1,-1.790959930E1,-3.574599981E0,-5.542459869E1,5.835595645E1
8.405462611E1,-1.817799950E1,-3.757599831E0,-5.448519897E1,5.756036943E1
8.406462635E1,-1.765340042E1,-3.562399864E0,-5.331399918E1,5.627357948E1
8.407462660E1,-1.750699997E1,-3.867399931E0,-5.288699722E1,5.584340879E1
8.408462660E1,-1.767779922E1,-4.123600006E0,-5.308219910E1,5.610016509E1
8.409462611E1,-1.801939964E1,-4.147999763E0,-5.338719940E1,5.649865242E1
8.410462635E1,-1.793400002E1,-4.599400043E0,-5.315539932E1,5.628747031E1
8.411462660E1,-1.764119911E1,-4.660399914E0,-5.338719940E1,5.641918374E1
8.412462684E1,-1.728739929E1,-4.269999981E0,-5.425339890E1,5.710094890E1
8.413462635E1,-2.004459953E1,-5.343599796E0,-5.492440033E1,5.871141099E1
8.414461170E1,-1.831220055E1,-4.562799931E0,-5.498539734E1,5.813389504E1
8.415461244E1,-1.769000053E1,-4.928800106E0,-5.431439972E1,5.733483414E1
8.416461219E1,-1.736059952E1,-4.660399914E0,-5.439979935E1,5.729265147E1
8.417461292E1,-1.821459961E1,-4.831200123E0,-5.414360046E1,5.732923865E1
8.418461195E1,-1.866600037E1,-5.392399788E0,-5.446080017E1,5.782280087E1
8.419461097E1,-1.775099945E1,-4.818999767E0,-5.468040085E1,5.769113430E1
8.420461244E1,-1.784860039E1,-5.111799717E0,-5.453400040E1,5.760781398E1
8.421461219E1,-1.871479988E1,-5.111799717E0,-5.420459747E1,5.757180402E1
8.422461219E1,-1.801939964E1,-4.550600052E0,-5.555879974E1,5.858486966E1
8.423461244E1,-1.820240021E1,-4.880000114E0,-5.542459869E1,5.854082264E1
8.424462684E1,-1.858059883E1,-4.294399738E0,-5.587599945E1,5.904073032E1
8.425462684E1,-1.821459961E1,-3.842999935E0,-5.469260025E1,5.777387653E1
8.426462611E1,-2.092300034E1,-4.587199688E0,-5.520499802E1,5.921491493E1
8.427462635E1,-1.901980019E1,-3.440399885E0,-5.411919785E1,5.746717955E1
8.428461122E1,-1.727519989E1,-2.110599995E0,-5.256979752E1,5.537572369E1
8.429462611E1,-1.872699928E1,-2.269199848E0,-5.300899887E1,5.626547548E1
8.430462708E1,-1.753139877E1,-1.903199911E0,-5.278939819E1,5.565691938E1
8.431462660E1,-1.755579948E1,-2.159399986E0,-5.316759872E1,5.603269276E1
8.432462660E1,-1.836100006E1,-2.940199852E0,-5.244779968E1,5.564658830E1
8.433462586E1,-1.822679901E1,-2.366800070E0,-5.393619919E1,5.698185262E1
8.434462611E1,-1.904419899E1,-3.440399885E0,-5.466819763E1,5.799249692E1
8.435459754E1,-1.816580009E1,-3.403800011E0,-5.348479843E1,5.658803593E1
8.436462660E1,-1.711660004E1,-3.037799835E0,-5.275279999E1,5.554335362E1
8.437462660E1,-1.697019958E1,-3.025599957E0,-5.315539932E1,5.588057271E1
8.438461097E1,-1.723859978E1,-3.074399948E0,-5.320420074E1,5.601167944E1
8.439461048E1,-1.694579887E1,-3.025599957E0,-5.249659729E1,5.524678345E1
8.440462660E1,-1.695800018E1,-2.525399923E0,-5.326519775E1,5.595652515E1
8.441462611E1,-1.760459900E1,-2.671799898E0,-5.404599762E1,5.690369302E1
8.442462635E1,-1.805599976E1,-2.610800028E0,-5.363119888E1,5.664927976E1
8.443462660E1,-1.772659874E1,-2.598599911E0,-5.354579926E1,5.646359573E1
8.444462660E1,-1.672620010E1,-2.488800049E0,-5.386299896E1,5.645513752E1
8.445462635E1,-1.672620010E1,-2.488800049E0,-5.386299896E1,5.645513752E1
8.446462684E1,-1.716539955E1,-2.610800028E0,-5.339939880E1,5.615125120E1
8.447462611E1,-1.665299988E1,-2.659600019E0,-5.239899826E1,5.504589808E1
8.448461097E1,-1.737279892E1,-3.013399839E0,-5.326519775E1,5.610771794E1
8.449462440E1,-1.747039986E1,-3.476999998E0,-5.360680008E1,5.648887868E1
8.450462660E1,-1.827560043E1,-3.623399973E0,-5.421680069E1,5.732877180E1
8.451462635E1,-1.749480057E1,-3.916199923E0,-5.438759995E1,5.726618284E1
8.452462660E1,-1.631139946E1,-3.684399843E0,-5.316759872E1,5.573535780E1
8.453462611E1,-1.671399879E1,-2.842599869E0,-5.431439972E1,5.689896437E1
8.454462660E1,-1.629920006E1,-3.428200006E0,-5.300899887E1,5.556411107E1
8.455462635E1,-1.681159973E1,-3.452600002E0,-5.344820023E1,5.613608857E1
8.456462660E1,-1.655539894E1,-3.159800053E0,-5.355799866E1,5.614734892E1
8.457462660E1,-1.638459969E1,-3.147599936E0,-5.363119888E1,5.616643113E1
8.458462586E1,-1.716539955E1,-2.903599977E0,-5.485120010E1,5.754768447E1
8.459461097E1,-1.709219933E1,-3.318399906E0,-5.354579926E1,5.630548529E1
8.460462635E1,-1.556719971E1,-2.684000015E0,-5.320420074E1,5.549980666E1
8.461462611E1,-1.614060020E1,-3.171999931E0,-5.335059738E1,5.582890649E1
8.462461122E1,-1.565259933E1,-2.732800007E0,-5.321640015E1,5.553789073E1
8.463462660E1,-1.634799957E1,-3.367199898E0,-5.465599823E1,5.714781945E1
8.464462635E1,-1.742160034E1,-4.062600136E0,-5.531480026E1,5.813556576E1
8.465462635E1,-1.581120014E1,-3.110999823E0,-5.154499817E1,5.400517759E1
8.466462635E1,-1.581120014E1,-3.684399843E0,-5.087400055E1,5.340161780E1
8.467462635E1,-1.615279961E1,-3.696599960E0,-5.095940018E1,5.358580272E1
8.468459950E1,-1.655539894E1,-4.111400127E0,-5.139859772E1,5.415533854E1
8.469460414E1,-1.699460030E1,-4.416399956E0,-5.165480042E1,5.455767071E1
8.470462660E1,-1.668959999E1,-4.538399696E0,-5.111800003E1,5.396470835E1
8.471462635E1,-1.707999992E1,-5.197199821E0,-5.106919861E1,5.409991063E1
8.472462660E1,-1.665299988E1,-5.575399876E0,-5.109359741E1,5.402742993E1
8.473462684E1,-1.670179939E1,-5.721799850E0,-5.108139801E1,5.404626092E1
8.474462660E1,-1.710439873E1,-6.136600018E0,-5.152059937E1,5.463140557E1
