"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.445327802E0,-6.063399792E0,-1.835489960E2,-1.503039932E1,1.842631587E2
1.455327313E0,-5.575399876E0,-1.833537903E2,-1.451799965E1,1.840121458E2
1.465327313E0,-6.466000080E0,-1.832805939E2,-1.529879951E1,1.840316237E2
1.475326825E0,-7.746999741E0,-1.836221924E2,-1.598199940E1,1.844791312E2
1.485315350E0,-7.795799732E0,-1.833293915E2,-1.551839924E1,1.841501045E2
1.495327313E0,-6.929599762E0,-1.830487976E2,-1.482299995E1,1.837786794E2
1.505327313E0,-5.880399704E0,-1.824754028E2,-1.566479969E1,1.832409280E2
1.515326825E0,-6.051199913E0,-1.823533936E2,-1.714099884E1,1.832571718E2
1.525327557E0,-6.087800026E0,-1.828779907E2,-1.540859985E1,1.836269200E2
1.535323895E0,-6.282999992E0,-1.828901978E2,-1.610400009E1,1.837053057E2
1.545315594E0,-6.136600018E0,-1.824510040E2,-1.627479935E1,1.832781924E2
1.555317792E0,-5.672999859E0,-1.819385986E2,-1.723859978E1,1.828414776E2
1.565327313E0,-7.307799816E0,-1.822313995E2,-1.899539948E1,1.833644243E2
1.575327313E0,-4.818999767E0,-1.814505920E2,-1.832439995E1,1.824371775E2
1.585327313E0,-6.197599888E0,-1.824387970E2,-1.986159897E1,1.836213713E2
1.595314862E0,-3.415999889E0,-1.816335907E2,-1.598199940E1,1.823673617E2
1.605327313E0,-7.807999849E-1,-1.808040009E2,-1.421299934E1,1.813634630E2
1.615327557E0,2.220399857E0,-1.791325989E2,-1.252939987E1,1.795839748E2
1.625327313E0,-4.513999820E-1,-1.806087952E2,-1.384700012E1,1.811393940E2
1.635326581E0,-2.805999815E-1,-1.806697998E2,-1.302960014E1,1.811392442E2
1.645327802E0,-3.269599915E0,-1.814017944E2,-1.448139954E1,1.820082752E2
1.655327069E0,-9.759999514E-1,-1.805477905E2,-1.150459957E1,1.809165914E2
1.665314374E0,-1.000399947E0,-1.803038025E2,-1.221220016E1,1.807196719E2
1.675327313E0,-2.086199999E0,-1.808040009E2,-1.248059940E1,1.812462532E2
1.685327313E0,-3.147599936E0,-1.811699982E2,-1.352979946E1,1.817017642E2
1.695327557E0,-3.318399906E0,-1.817433929E2,-1.268799973E1,1.822159653E2
1.705327313E0,-3.452600002E0,-1.809747925E2,-1.462779999E1,1.815978207E2
1.715327069E0,-3.013399839E0,-1.807917938E2,-1.542079926E1,1.814732882E2
1.725327313E0,-4.684800148E0,-1.812919922E2,-1.638459969E1,1.820911554E2
1.735314618E0,-3.135400057E0,-1.810845947E2,-1.593319988E1,1.818112429E2
1.745327313E0,-4.074800014E0,-1.809747925E2,-1.607959938E1,1.817334120E2
1.755326825E0,-3.757599831E0,-1.812798004E2,-1.549399948E1,1.819795308E2
1.765327557E0,-4.928800106E0,-1.815115967E2,-1.660420036E1,1.823360970E2
1.775327313E0,-3.537999868E0,-1.810113983E2,-1.442039967E1,1.816193593E2
1.785327557E0,-3.964999914E0,-1.808893890E2,-1.423740005E1,1.814921372E2
1.795326825E0,-2.854799986E0,-1.806941986E2,-1.248059940E1,1.811472016E2
1.805327313E0,-3.757599831E0,-1.812554016E2,-1.193159962E1,1.816865522E2
1.815327313E0,-2.415600061E0,-1.813407898E2,-1.006499958E1,1.816359584E2
1.825327557E0,-9.759999514E-1,-1.809259949E2,-1.001620007E1,1.812056634E2
1.835326825E0,3.660000116E-2,-1.805599976E2,-1.005280018E1,1.808396330E2
1.845314618E0,7.197999954E-1,-1.804257965E2,-8.735199928E0,1.806385614E2
1.855327313E0,5.856000185E-1,-1.804745941E2,-9.613599777E0,1.807314122E2
1.865327557E0,1.366400003E0,-1.809015961E2,-8.564399719E0,1.811093688E2
1.875327069E0,2.378999949E0,-1.802183990E2,-9.223199844E0,1.804699377E2
1.885327313E0,1.024799943E0,-1.808405914E2,-9.418399811E0,1.810885860E2
1.895327313E0,1.390799999E0,-1.802549896E2,-9.357399940E0,1.805030652E2
1.905327313E0,-3.050000072E-1,-1.812675934E2,-1.052859974E1,1.815733594E2
1.915314130E0,2.195999920E-1,-1.810968018E2,-1.097999954E1,1.814294910E2
1.925327802E0,2.439999953E-2,-1.804989929E2,-1.094339943E1,1.808304317E2
1.935327313E0,-1.683599949E0,-1.805112000E2,-1.310279942E1,1.809939534E2
1.945327313E0,1.341999918E-1,-1.804380035E2,-1.276119995E1,1.808887486E2
1.955327313E0,5.733999610E-1,-1.795717926E2,-1.360299969E1,1.800871986E2
1.965327313E0,6.222000122E-1,-1.797791901E2,-1.429839993E1,1.803479652E2
1.975327557E0,2.928000093E-1,-1.799743958E2,-1.488399982E1,1.805890426E2
1.985327313E0,-1.586000025E-1,-1.799255981E2,-1.446920013E1,1.805065200E2
1.995327069E0,3.172000051E-1,-1.794010010E2,-1.511579990E1,1.800369606E2
2.005327557E0,6.588000059E-1,-1.792057953E2,-1.453020000E1,1.797950995E2
2.015327313E0,-4.879999906E-2,-1.798768005E2,-1.423740005E1,1.804393785E2
2.025314618E0,3.903999925E-1,-1.797547913E2,-1.437160015E1,1.803288116E2
2.035326825E0,1.342000008E0,-1.793643951E2,-1.421299934E1,1.799316441E2
2.045327557E0,1.342000008E0,-1.794253998E2,-1.366399956E1,1.799499373E2
2.055327069E0,1.281000018E0,-1.800719910E2,-1.363959980E1,1.805923630E2
2.065327557E0,-1.586000025E-1,-1.797182007E2,-1.625040054E1,1.804514681E2
2.075326581E0,-4.635999799E-1,-1.798401947E2,-1.661639977E1,1.806067975E2
2.085327069E0,3.416000009E-1,-1.796327972E2,-1.656760025E1,1.803955208E2
2.095318768E0,1.573799968E0,-1.788641968E2,-1.686039925E1,1.796639942E2
2.105327557E0,2.842599869E0,-1.781443939E2,-1.767779922E1,1.790419226E2
2.115327069E0,7.929999828E-1,-1.795473938E2,-1.809259987E1,1.804584097E2
2.125328290E0,7.563999891E-1,-1.802183990E2,-1.535979939E1,1.808733450E2
